"school_id","year","category","cohort","count"
"0026111","201314","Black or African American ","cohort.count.2012-13","47 "
"0026111","201314","Hispanic or Latino ","cohort.count.2012-13","49 "
"0026111","201314","English Language Learners ","cohort.count.2012-13","* "
"0026111","201314","Eligible for Free or Reduced-Price Meals ","cohort.count.2012-13","143 "
"0026111","201314","Students with Disabilities ","cohort.count.2012-13","22 "
"0026111","201314","School ","cohort.count.2012-13","209 "
"0026111","201314","District ","cohort.count.2012-13",""
"0026111","201314","Black or African American ","cohort.rate.2012-13","70.2 "
"0026111","201314","Hispanic or Latino ","cohort.rate.2012-13","65.3 "
"0026111","201314","English Language Learners ","cohort.rate.2012-13","* "
"0026111","201314","Eligible for Free or Reduced-Price Meals ","cohort.rate.2012-13","69.9 "
"0026111","201314","Students with Disabilities ","cohort.rate.2012-13","68.2 "
"0026111","201314","School ","cohort.rate.2012-13","76.1 "
"0026111","201314","District ","cohort.rate.2012-13","75.5 "
"0026111","201314","Black or African American ","cohort.target.2012-13","77.3 "
"0026111","201314","Hispanic or Latino ","cohort.target.2012-13","64.8 "
"0026111","201314","English Language Learners ","cohort.target.2012-13",". "
"0026111","201314","Eligible for Free or Reduced-Price Meals ","cohort.target.2012-13","63.0 "
"0026111","201314","Students with Disabilities ","cohort.target.2012-13",". "
"0026111","201314","School ","cohort.target.2012-13","74.4 "
"0026111","201314","District ","cohort.target.2012-13","73.2 "
"0026111","201314","Black or African American ","target.achieved.2012-13","No "
"0026111","201314","Hispanic or Latino ","target.achieved.2012-13","Yes "
"0026111","201314","English Language Learners ","target.achieved.2012-13",""
"0026111","201314","Eligible for Free or Reduced-Price Meals ","target.achieved.2012-13","Yes "
"0026111","201314","Students with Disabilities ","target.achieved.2012-13",""
"0026111","201314","School ","target.achieved.2012-13","Yes "
"0026111","201314","District ","target.achieved.2012-13","Yes "
"0026111","201314","Black or African American ","target.percent.2013-14","79.0"
"0026111","201314","Hispanic or Latino ","target.percent.2013-14","67.7"
"0026111","201314","English Language Learners ","target.percent.2013-14","."
"0026111","201314","Eligible for Free or Reduced-Price Meals ","target.percent.2013-14","66.1"
"0026111","201314","Students with Disabilities ","target.percent.2013-14","."
"0026111","201314","School ","target.percent.2013-14","76.3"
"0026111","201314","District ","target.percent.2013-14","75.3"
"0026111","201415","Black or African American ","cohort.count.2013-14","* "
"0026111","201415","Hispanic or Latino ","cohort.count.2013-14","43 "
"0026111","201415","English Language Learners ","cohort.count.2013-14","* "
"0026111","201415","Eligible for Free or Reduced-Price Meals ","cohort.count.2013-14","105 "
"0026111","201415","Students with Disabilities ","cohort.count.2013-14","* "
"0026111","201415","School ","cohort.count.2013-14","150 "
"0026111","201415","District ","cohort.count.2013-14",""
"0026111","201415","Black or African American ","cohort.rate.2013-14","* "
"0026111","201415","Hispanic or Latino ","cohort.rate.2013-14","79.1 "
"0026111","201415","English Language Learners ","cohort.rate.2013-14","* "
"0026111","201415","Eligible for Free or Reduced-Price Meals ","cohort.rate.2013-14","75.2 "
"0026111","201415","Students with Disabilities ","cohort.rate.2013-14","* "
"0026111","201415","School ","cohort.rate.2013-14","80.0 "
"0026111","201415","District ","cohort.rate.2013-14","76.4 "
"0026111","201415","Black or African American ","cohort.target.2013-14","79.0 "
"0026111","201415","Hispanic or Latino ","cohort.target.2013-14","67.7 "
"0026111","201415","English Language Learners ","cohort.target.2013-14",". "
"0026111","201415","Eligible for Free or Reduced-Price Meals ","cohort.target.2013-14","66.1 "
"0026111","201415","Students with Disabilities ","cohort.target.2013-14",". "
"0026111","201415","School ","cohort.target.2013-14","76.3 "
"0026111","201415","District ","cohort.target.2013-14","75.3 "
"0026111","201415","Black or African American ","target.achieved.2013-14","No "
"0026111","201415","Hispanic or Latino ","target.achieved.2013-14","Yes "
"0026111","201415","English Language Learners ","target.achieved.2013-14",""
"0026111","201415","Eligible for Free or Reduced-Price Meals ","target.achieved.2013-14","Yes "
"0026111","201415","Students with Disabilities ","target.achieved.2013-14",""
"0026111","201415","School ","target.achieved.2013-14","Yes "
"0026111","201415","District ","target.achieved.2013-14","Yes "
"0026111","201415","Black or African American ","target.percent.2014-15","80.6"
"0026111","201415","Hispanic or Latino ","target.percent.2014-15","70.6"
"0026111","201415","English Language Learners ","target.percent.2014-15","."
"0026111","201415","Eligible for Free or Reduced-Price Meals ","target.percent.2014-15","69.2"
"0026111","201415","Students with Disabilities ","target.percent.2014-15","."
"0026111","201415","School ","target.percent.2014-15","78.3"
"0026111","201415","District ","target.percent.2014-15","77.4"
"0026111","201516","Black or African American ","cohort.count.2014-15","28 "
"0026111","201516","Hispanic or Latino ","cohort.count.2014-15","42 "
"0026111","201516","English Language Learners ","cohort.count.2014-15","* "
"0026111","201516","Eligible for Free or Reduced-Price Meals ","cohort.count.2014-15","113 "
"0026111","201516","Students with Disabilities ","cohort.count.2014-15","* "
"0026111","201516","School ","cohort.count.2014-15","153 "
"0026111","201516","District ","cohort.count.2014-15",""
"0026111","201516","Black or African American ","cohort.rate.2014-15","96.4 "
"0026111","201516","Hispanic or Latino ","cohort.rate.2014-15","90.5 "
"0026111","201516","English Language Learners ","cohort.rate.2014-15","* "
"0026111","201516","Eligible for Free or Reduced-Price Meals ","cohort.rate.2014-15","86.7 "
"0026111","201516","Students with Disabilities ","cohort.rate.2014-15","* "
"0026111","201516","School ","cohort.rate.2014-15","88.9 "
"0026111","201516","District ","cohort.rate.2014-15","83.7 "
"0026111","201516","Black or African American ","cohort.target.2014-15","80.6 "
"0026111","201516","Hispanic or Latino ","cohort.target.2014-15","70.6 "
"0026111","201516","English Language Learners ","cohort.target.2014-15",". "
"0026111","201516","Eligible for Free or Reduced-Price Meals ","cohort.target.2014-15","69.2 "
"0026111","201516","Students with Disabilities ","cohort.target.2014-15",". "
"0026111","201516","School ","cohort.target.2014-15","78.3 "
"0026111","201516","District ","cohort.target.2014-15","77.4 "
"0026111","201516","Black or African American ","target.achieved.2014-15","Yes "
"0026111","201516","Hispanic or Latino ","target.achieved.2014-15","Yes "
"0026111","201516","English Language Learners ","target.achieved.2014-15",""
"0026111","201516","Eligible for Free or Reduced-Price Meals ","target.achieved.2014-15","Yes "
"0026111","201516","Students with Disabilities ","target.achieved.2014-15",""
"0026111","201516","School ","target.achieved.2014-15","Yes "
"0026111","201516","District ","target.achieved.2014-15","Yes "
"0026111","201516","Black or African American ","target.percent.2015-16","82.3"
"0026111","201516","Hispanic or Latino ","target.percent.2015-16","73.5"
"0026111","201516","English Language Learners ","target.percent.2015-16","."
"0026111","201516","Eligible for Free or Reduced-Price Meals ","target.percent.2015-16","72.3"
"0026111","201516","Students with Disabilities ","target.percent.2015-16","."
"0026111","201516","School ","target.percent.2015-16","80.2"
"0026111","201516","District ","target.percent.2015-16","79.5"
"0046111","201314","Black or African American ","cohort.count.2012-13","* "
"0046111","201314","Hispanic or Latino ","cohort.count.2012-13","* "
"0046111","201314","English Language Learners ","cohort.count.2012-13","* "
"0046111","201314","Eligible for Free or Reduced-Price Meals ","cohort.count.2012-13","* "
"0046111","201314","Students with Disabilities ","cohort.count.2012-13","31 "
"0046111","201314","School ","cohort.count.2012-13","261 "
"0046111","201314","District ","cohort.count.2012-13",""
"0046111","201314","Black or African American ","cohort.rate.2012-13","* "
"0046111","201314","Hispanic or Latino ","cohort.rate.2012-13","* "
"0046111","201314","English Language Learners ","cohort.rate.2012-13","* "
"0046111","201314","Eligible for Free or Reduced-Price Meals ","cohort.rate.2012-13","* "
"0046111","201314","Students with Disabilities ","cohort.rate.2012-13","90.3 "
"0046111","201314","School ","cohort.rate.2012-13","96.6 "
"0046111","201314","District ","cohort.rate.2012-13","95.8 "
"0046111","201314","Black or African American ","cohort.target.2012-13",". "
"0046111","201314","Hispanic or Latino ","cohort.target.2012-13",". "
"0046111","201314","English Language Learners ","cohort.target.2012-13",". "
"0046111","201314","Eligible for Free or Reduced-Price Meals ","cohort.target.2012-13",". "
"0046111","201314","Students with Disabilities ","cohort.target.2012-13",". "
"0046111","201314","School ","cohort.target.2012-13",". "
"0046111","201314","District ","cohort.target.2012-13","94.0 "
"0046111","201314","Black or African American ","target.achieved.2012-13",""
"0046111","201314","Hispanic or Latino ","target.achieved.2012-13",""
"0046111","201314","English Language Learners ","target.achieved.2012-13",""
"0046111","201314","Eligible for Free or Reduced-Price Meals ","target.achieved.2012-13",""
"0046111","201314","Students with Disabilities ","target.achieved.2012-13",""
"0046111","201314","School ","target.achieved.2012-13",""
"0046111","201314","District ","target.achieved.2012-13","Yes "
"0046111","201314","Black or African American ","target.percent.2013-14","."
"0046111","201314","Hispanic or Latino ","target.percent.2013-14","."
"0046111","201314","English Language Learners ","target.percent.2013-14","."
"0046111","201314","Eligible for Free or Reduced-Price Meals ","target.percent.2013-14","."
"0046111","201314","Students with Disabilities ","target.percent.2013-14","."
"0046111","201314","School ","target.percent.2013-14","."
"0046111","201314","District ","target.percent.2013-14","94.0"
"0046111","201415","Black or African American ","cohort.count.2013-14","* "
"0046111","201415","Hispanic or Latino ","cohort.count.2013-14","* "
"0046111","201415","English Language Learners ","cohort.count.2013-14","N/A "
"0046111","201415","Eligible for Free or Reduced-Price Meals ","cohort.count.2013-14","21 "
"0046111","201415","Students with Disabilities ","cohort.count.2013-14","25 "
"0046111","201415","School ","cohort.count.2013-14","269 "
"0046111","201415","District ","cohort.count.2013-14",""
