"gap.indicators","non.high.needs.rate","high.needs.rate","size.of.gap","state.gap.mean.sd","is.gap.outlier","school_id","year"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0010111","201516"
"ELA Performance Index Gap ","75.0 ","67.9","7.1","16.6","","0010111","201516"
NA,NA,NA,NA,NA,NA,"0010111","201516"
"ELA Performance Index Gap ","75","74.4 ","0.6 ","16.8","","0010111","201415"
"Math Performance Index Gap ","75","67.2 ","7.8 ","19.5","","0010111","201415"
"Science Performance Index Gap ","71.1","N/A ",". ","17.3","","0010111","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0010111","201516"
"ELA Performance Index Gap ","75.0 ","67.9","7.1","16.6","","0010111","201516"
NA,NA,NA,NA,NA,NA,"0010111","201516"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0010111","201516"
"ELA Performance Index Gap ","75.0 ","67.9","7.1","16.6","","0010111","201516"
NA,NA,NA,NA,NA,NA,"0010111","201516"
"ELA Performance Index Gap ","75","74.4 ","0.6 ","16.8","","0010111","201415"
"Math Performance Index Gap ","75","67.2 ","7.8 ","19.5","","0010111","201415"
"Science Performance Index Gap ","71.1","N/A ",". ","17.3","","0010111","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0010111","201516"
"ELA Performance Index Gap ","75.0 ","67.9","7.1","16.6","","0010111","201516"
NA,NA,NA,NA,NA,NA,"0010111","201516"
"ELA Performance Index Gap ","69.6","58.5","11.1","16.8","","0020311","201415"
"Math Performance Index Gap ","60.5","50.8","9.8","19.5","","0020311","201415"
"Science Performance Index Gap ","58.3","47.4","10.9","17.3","","0020311","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0020311","201516"
"ELA Performance Index Gap ","70.0 ","57.6","12.4","16.6","","0020311","201516"
NA,NA,NA,NA,NA,NA,"0020311","201516"
"ELA Performance Index Gap ","71.1","59.5","11.5","16.8","","0020811","201415"
"Math Performance Index Gap ","62.7","52.6","10.1","19.5","","0020811","201415"
"Science Performance Index Gap ","55.3","43.8","11.5","17.3","","0020811","201415"
"Achievement Gap Size Outlier? ","",NA,NA,"","N","0020811","201516"
"ELA Performance Index Gap ","72.3 ","60.8","11.6","16.6","","0020811","201516"
NA,NA,NA,NA,NA,NA,"0020811","201516"
