"category","fte","school_id","year"
"General Education: Teachers and Instructors ",24.7,"0010111","201314"
"General Education: Paraprofessional Instructional Assistants ",3,"0010111","201314"
"Special Education: Teachers and Instructors ",3,"0010111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",4.5,"0010111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0010111","201314"
"Library/Media: Specialists (Certified) ",1,"0010111","201314"
"Support Staff ",0,"0010111","201314"
"Instructional Specialists Who Support Teachers ",1.4,"0010111","201314"
"Counselors, Social Workers and School Psychologists ",0,"0010111","201314"
"School Nurses ",1,"0010111","201314"
"Other Staff Providing Non-Instructional Services/Support ",15.4,"0010111","201314"
"General Education: Teachers and Instructors ",19.7,"0010111","201415"
"General Education: Paraprofessional Instructional Assistants ",2,"0010111","201415"
"Special Education: Teachers and Instructors ",3,"0010111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0010111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0010111","201415"
"Library/Media: Specialists (Certified) ",1,"0010111","201415"
"Support Staff ",0,"0010111","201415"
"Instructional Specialists Who Support Teachers ",1.4,"0010111","201415"
"Counselors, Social Workers and School Psychologists ",0,"0010111","201415"
"School Nurses ",1,"0010111","201415"
"Other Staff Providing Non-Instructional Services/Support ",15.4,"0010111","201415"
"General Education: Teachers and Instructors ",22.8,"0010111","201516"
"General Education: Paraprofessional Instructional Assistants ",1,"0010111","201516"
"Special Education: Teachers and Instructors ",3,"0010111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6,"0010111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",0,"0010111","201516"
"Library/Media: Specialists (Certified) ",1,"0010111","201516"
"Support Staff ",0,"0010111","201516"
"Instructional Specialists Who Support Teachers ",1.5,"0010111","201516"
"Counselors, Social Workers and School Psychologists ",0,"0010111","201516"
"School Nurses ",1,"0010111","201516"
"Other Staff Providing Non-Instructional Services/Support ",15.4,"0010111","201516"
"General Education: Teachers and Instructors ",36.5,"0020311","201314"
"General Education: Paraprofessional Instructional Assistants ",4,"0020311","201314"
"Special Education: Teachers and Instructors ",5,"0020311","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",15.5,"0020311","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0020311","201314"
"Library/Media: Specialists (Certified) ",0,"0020311","201314"
"Support Staff ",1,"0020311","201314"
"Instructional Specialists Who Support Teachers ",2.6,"0020311","201314"
"Counselors, Social Workers and School Psychologists ",2.5,"0020311","201314"
"School Nurses ",1,"0020311","201314"
"Other Staff Providing Non-Instructional Services/Support ",7.8,"0020311","201314"
"General Education: Teachers and Instructors ",37,"0020311","201415"
"General Education: Paraprofessional Instructional Assistants ",9.5,"0020311","201415"
"Special Education: Teachers and Instructors ",4,"0020311","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",5,"0020311","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0020311","201415"
"Library/Media: Specialists (Certified) ",0,"0020311","201415"
"Support Staff ",0.5,"0020311","201415"
"Instructional Specialists Who Support Teachers ",0,"0020311","201415"
"Counselors, Social Workers and School Psychologists ",2.5,"0020311","201415"
"School Nurses ",1,"0020311","201415"
"Other Staff Providing Non-Instructional Services/Support ",8.3,"0020311","201415"
"General Education: Teachers and Instructors ",35.5,"0020311","201516"
"General Education: Paraprofessional Instructional Assistants ",10.5,"0020311","201516"
"Special Education: Teachers and Instructors ",7,"0020311","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",4,"0020311","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0020311","201516"
"Library/Media: Specialists (Certified) ",0,"0020311","201516"
"Support Staff ",0,"0020311","201516"
"Instructional Specialists Who Support Teachers ",1,"0020311","201516"
"Counselors, Social Workers and School Psychologists ",2.5,"0020311","201516"
"School Nurses ",1,"0020311","201516"
"Other Staff Providing Non-Instructional Services/Support ",9,"0020311","201516"
"General Education: Teachers and Instructors ",39.5,"0020811","201314"
"General Education: Paraprofessional Instructional Assistants ",6,"0020811","201314"
"Special Education: Teachers and Instructors ",5,"0020811","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",16,"0020811","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0020811","201314"
"Library/Media: Specialists (Certified) ",0,"0020811","201314"
"Support Staff ",1,"0020811","201314"
"Instructional Specialists Who Support Teachers ",3.4,"0020811","201314"
"Counselors, Social Workers and School Psychologists ",2.5,"0020811","201314"
"School Nurses ",1.5,"0020811","201314"
"Other Staff Providing Non-Instructional Services/Support ",10.2,"0020811","201314"
"General Education: Teachers and Instructors ",41.5,"0020811","201415"
"General Education: Paraprofessional Instructional Assistants ",7,"0020811","201415"
"Special Education: Teachers and Instructors ",6,"0020811","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",3,"0020811","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0020811","201415"
"Library/Media: Specialists (Certified) ",0,"0020811","201415"
"Support Staff ",0.5,"0020811","201415"
"Instructional Specialists Who Support Teachers ",1,"0020811","201415"
"Counselors, Social Workers and School Psychologists ",2.5,"0020811","201415"
"School Nurses ",1.5,"0020811","201415"
"Other Staff Providing Non-Instructional Services/Support ",9.7,"0020811","201415"
"General Education: Teachers and Instructors ",39.5,"0020811","201516"
"General Education: Paraprofessional Instructional Assistants ",8.5,"0020811","201516"
"Special Education: Teachers and Instructors ",6,"0020811","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",5,"0020811","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0020811","201516"
"Library/Media: Specialists (Certified) ",0,"0020811","201516"
"Support Staff ",0,"0020811","201516"
"Instructional Specialists Who Support Teachers ",1,"0020811","201516"
"Counselors, Social Workers and School Psychologists ",2.5,"0020811","201516"
"School Nurses ",1,"0020811","201516"
"Other Staff Providing Non-Instructional Services/Support ",9,"0020811","201516"
"General Education: Teachers and Instructors ",23.7,"0025111","201314"
"General Education: Paraprofessional Instructional Assistants ",22,"0025111","201314"
"Special Education: Teachers and Instructors ",6,"0025111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",13.5,"0025111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0025111","201314"
"Library/Media: Specialists (Certified) ",0,"0025111","201314"
"Support Staff ",1,"0025111","201314"
"Instructional Specialists Who Support Teachers ",2,"0025111","201314"
"Counselors, Social Workers and School Psychologists ",3,"0025111","201314"
"School Nurses ",1,"0025111","201314"
"Other Staff Providing Non-Instructional Services/Support ",10.6,"0025111","201314"
"General Education: Teachers and Instructors ",25.7,"0025111","201415"
"General Education: Paraprofessional Instructional Assistants ",9,"0025111","201415"
"Special Education: Teachers and Instructors ",6,"0025111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",4,"0025111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0025111","201415"
"Library/Media: Specialists (Certified) ",0,"0025111","201415"
"Support Staff ",1,"0025111","201415"
"Instructional Specialists Who Support Teachers ",1,"0025111","201415"
"Counselors, Social Workers and School Psychologists ",3,"0025111","201415"
"School Nurses ",1,"0025111","201415"
"Other Staff Providing Non-Instructional Services/Support ",8.6,"0025111","201415"
"General Education: Teachers and Instructors ",26.2,"0025111","201516"
"General Education: Paraprofessional Instructional Assistants ",10,"0025111","201516"
"Special Education: Teachers and Instructors ",5.5,"0025111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",3,"0025111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",3.1,"0025111","201516"
"Library/Media: Specialists (Certified) ",0,"0025111","201516"
"Support Staff ",1,"0025111","201516"
"Instructional Specialists Who Support Teachers ",1,"0025111","201516"
"Counselors, Social Workers and School Psychologists ",3,"0025111","201516"
"School Nurses ",1,"0025111","201516"
"Other Staff Providing Non-Instructional Services/Support ",7.1,"0025111","201516"
"General Education: Teachers and Instructors ",45.3,"0026111","201314"
"General Education: Paraprofessional Instructional Assistants ",4,"0026111","201314"
"Special Education: Teachers and Instructors ",5,"0026111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",7,"0026111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0026111","201314"
"Library/Media: Specialists (Certified) ",1,"0026111","201314"
"Support Staff ",1,"0026111","201314"
"Instructional Specialists Who Support Teachers ",3.1,"0026111","201314"
"Counselors, Social Workers and School Psychologists ",5,"0026111","201314"
"School Nurses ",1,"0026111","201314"
"Other Staff Providing Non-Instructional Services/Support ",22,"0026111","201314"
"General Education: Teachers and Instructors ",44,"0026111","201415"
"General Education: Paraprofessional Instructional Assistants ",3,"0026111","201415"
"Special Education: Teachers and Instructors ",5,"0026111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",5,"0026111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1.3,"0026111","201415"
"Library/Media: Specialists (Certified) ",1,"0026111","201415"
"Support Staff ",1,"0026111","201415"
"Instructional Specialists Who Support Teachers ",3,"0026111","201415"
"Counselors, Social Workers and School Psychologists ",5,"0026111","201415"
"School Nurses ",1,"0026111","201415"
"Other Staff Providing Non-Instructional Services/Support ",19.5,"0026111","201415"
"General Education: Teachers and Instructors ",41,"0026111","201516"
"General Education: Paraprofessional Instructional Assistants ",3.5,"0026111","201516"
"Special Education: Teachers and Instructors ",5,"0026111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",6.3,"0026111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1.3,"0026111","201516"
"Library/Media: Specialists (Certified) ",1,"0026111","201516"
"Support Staff ",1,"0026111","201516"
"Instructional Specialists Who Support Teachers ",3,"0026111","201516"
"Counselors, Social Workers and School Psychologists ",5,"0026111","201516"
"School Nurses ",1,"0026111","201516"
"Other Staff Providing Non-Instructional Services/Support ",21,"0026111","201516"
"General Education: Teachers and Instructors ",38,"0030111","201314"
"General Education: Paraprofessional Instructional Assistants ",6.5,"0030111","201314"
"Special Education: Teachers and Instructors ",4,"0030111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11,"0030111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",3,"0030111","201314"
"Library/Media: Specialists (Certified) ",0,"0030111","201314"
"Support Staff ",1,"0030111","201314"
"Instructional Specialists Who Support Teachers ",1,"0030111","201314"
"Counselors, Social Workers and School Psychologists ",2,"0030111","201314"
"School Nurses ",1,"0030111","201314"
"Other Staff Providing Non-Instructional Services/Support ",19,"0030111","201314"
"General Education: Teachers and Instructors ",39,"0030111","201415"
"General Education: Paraprofessional Instructional Assistants ",7,"0030111","201415"
"Special Education: Teachers and Instructors ",4,"0030111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11.5,"0030111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1.6,"0030111","201415"
"Library/Media: Specialists (Certified) ",0,"0030111","201415"
"Support Staff ",1,"0030111","201415"
"Instructional Specialists Who Support Teachers ",1,"0030111","201415"
"Counselors, Social Workers and School Psychologists ",2,"0030111","201415"
"School Nurses ",1,"0030111","201415"
"Other Staff Providing Non-Instructional Services/Support ",21.7,"0030111","201415"
"General Education: Teachers and Instructors ",38,"0030111","201516"
"General Education: Paraprofessional Instructional Assistants ",6,"0030111","201516"
"Special Education: Teachers and Instructors ",4,"0030111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",13,"0030111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",0,"0030111","201516"
"Library/Media: Specialists (Certified) ",0,"0030111","201516"
"Support Staff ",1,"0030111","201516"
"Instructional Specialists Who Support Teachers ",0,"0030111","201516"
"Counselors, Social Workers and School Psychologists ",1.4,"0030111","201516"
"School Nurses ",1,"0030111","201516"
"Other Staff Providing Non-Instructional Services/Support ",19.7,"0030111","201516"
"General Education: Teachers and Instructors ",32,"0040311","201314"
"General Education: Paraprofessional Instructional Assistants ",3.3,"0040311","201314"
"Special Education: Teachers and Instructors ",3.6,"0040311","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",16.4,"0040311","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2.1,"0040311","201314"
"Library/Media: Specialists (Certified) ",1,"0040311","201314"
"Support Staff ",0,"0040311","201314"
"Instructional Specialists Who Support Teachers ",2.6,"0040311","201314"
"Counselors, Social Workers and School Psychologists ",1.3,"0040311","201314"
"School Nurses ",1,"0040311","201314"
"Other Staff Providing Non-Instructional Services/Support ",10.7,"0040311","201314"
"General Education: Teachers and Instructors ",33.8,"0040311","201415"
"General Education: Paraprofessional Instructional Assistants ",5.3,"0040311","201415"
"Special Education: Teachers and Instructors ",3.6,"0040311","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",14,"0040311","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0040311","201415"
"Library/Media: Specialists (Certified) ",1,"0040311","201415"
"Support Staff ",0,"0040311","201415"
"Instructional Specialists Who Support Teachers ",2.1,"0040311","201415"
"Counselors, Social Workers and School Psychologists ",1,"0040311","201415"
"School Nurses ",1,"0040311","201415"
"Other Staff Providing Non-Instructional Services/Support ",9.4,"0040311","201415"
"General Education: Teachers and Instructors ",33.3,"0040311","201516"
"General Education: Paraprofessional Instructional Assistants ",6.6,"0040311","201516"
"Special Education: Teachers and Instructors ",5.6,"0040311","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",18.7,"0040311","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0040311","201516"
"Library/Media: Specialists (Certified) ",1,"0040311","201516"
"Support Staff ",0,"0040311","201516"
"Instructional Specialists Who Support Teachers ",1,"0040311","201516"
"Counselors, Social Workers and School Psychologists ",1,"0040311","201516"
"School Nurses ",1,"0040311","201516"
"Other Staff Providing Non-Instructional Services/Support ",8.2,"0040311","201516"
"General Education: Teachers and Instructors ",32.7,"0040411","201314"
"General Education: Paraprofessional Instructional Assistants ",4.3,"0040411","201314"
"Special Education: Teachers and Instructors ",6.4,"0040411","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",17,"0040411","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2.3,"0040411","201314"
"Library/Media: Specialists (Certified) ",1,"0040411","201314"
"Support Staff ",0,"0040411","201314"
"Instructional Specialists Who Support Teachers ",4.1,"0040411","201314"
"Counselors, Social Workers and School Psychologists ",1.3,"0040411","201314"
"School Nurses ",1,"0040411","201314"
"Other Staff Providing Non-Instructional Services/Support ",10.8,"0040411","201314"
"General Education: Teachers and Instructors ",35,"0040411","201415"
"General Education: Paraprofessional Instructional Assistants ",5.8,"0040411","201415"
"Special Education: Teachers and Instructors ",4,"0040411","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",13,"0040411","201415"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0040411","201415"
"Library/Media: Specialists (Certified) ",1,"0040411","201415"
"Support Staff ",0,"0040411","201415"
"Instructional Specialists Who Support Teachers ",2.3,"0040411","201415"
"Counselors, Social Workers and School Psychologists ",1,"0040411","201415"
"School Nurses ",1,"0040411","201415"
"Other Staff Providing Non-Instructional Services/Support ",8.9,"0040411","201415"
"General Education: Teachers and Instructors ",35.6,"0040411","201516"
"General Education: Paraprofessional Instructional Assistants ",6.8,"0040411","201516"
"Special Education: Teachers and Instructors ",5,"0040411","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",13,"0040411","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0040411","201516"
"Library/Media: Specialists (Certified) ",1,"0040411","201516"
"Support Staff ",0,"0040411","201516"
"Instructional Specialists Who Support Teachers ",2,"0040411","201516"
"Counselors, Social Workers and School Psychologists ",0,"0040411","201516"
"School Nurses ",1,"0040411","201516"
"Other Staff Providing Non-Instructional Services/Support ",8.4,"0040411","201516"
"General Education: Teachers and Instructors ",35.8,"0040511","201314"
"General Education: Paraprofessional Instructional Assistants ",1,"0040511","201314"
"Special Education: Teachers and Instructors ",5.4,"0040511","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",14.6,"0040511","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2.3,"0040511","201314"
"Library/Media: Specialists (Certified) ",1,"0040511","201314"
"Support Staff ",0,"0040511","201314"
"Instructional Specialists Who Support Teachers ",1.7,"0040511","201314"
"Counselors, Social Workers and School Psychologists ",2,"0040511","201314"
"School Nurses ",1,"0040511","201314"
"Other Staff Providing Non-Instructional Services/Support ",11.9,"0040511","201314"
"General Education: Teachers and Instructors ",30.5,"0040511","201415"
"General Education: Paraprofessional Instructional Assistants ",2,"0040511","201415"
"Special Education: Teachers and Instructors ",6,"0040511","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",13,"0040511","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0040511","201415"
"Library/Media: Specialists (Certified) ",1,"0040511","201415"
"Support Staff ",0,"0040511","201415"
"Instructional Specialists Who Support Teachers ",1.6,"0040511","201415"
"Counselors, Social Workers and School Psychologists ",2,"0040511","201415"
"School Nurses ",1,"0040511","201415"
"Other Staff Providing Non-Instructional Services/Support ",11,"0040511","201415"
"General Education: Teachers and Instructors ",31.5,"0040511","201516"
"General Education: Paraprofessional Instructional Assistants ",0.8,"0040511","201516"
"Special Education: Teachers and Instructors ",7,"0040511","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10.6,"0040511","201516"
"Administrators, Coordinators and Department Chairs: School Level ",1,"0040511","201516"
"Library/Media: Specialists (Certified) ",1,"0040511","201516"
"Support Staff ",0,"0040511","201516"
"Instructional Specialists Who Support Teachers ",2,"0040511","201516"
"Counselors, Social Workers and School Psychologists ",2,"0040511","201516"
"School Nurses ",1,"0040511","201516"
"Other Staff Providing Non-Instructional Services/Support ",9.6,"0040511","201516"
"General Education: Teachers and Instructors ",39.7,"0045111","201314"
"General Education: Paraprofessional Instructional Assistants ",2,"0045111","201314"
"Special Education: Teachers and Instructors ",5,"0045111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",10,"0045111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",2.2,"0045111","201314"
"Library/Media: Specialists (Certified) ",1,"0045111","201314"
"Support Staff ",0,"0045111","201314"
"Instructional Specialists Who Support Teachers ",2.5,"0045111","201314"
"Counselors, Social Workers and School Psychologists ",3.5,"0045111","201314"
"School Nurses ",1,"0045111","201314"
"Other Staff Providing Non-Instructional Services/Support ",11.6,"0045111","201314"
"General Education: Teachers and Instructors ",38.5,"0045111","201415"
"General Education: Paraprofessional Instructional Assistants ",2,"0045111","201415"
"Special Education: Teachers and Instructors ",4,"0045111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",12,"0045111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0045111","201415"
"Library/Media: Specialists (Certified) ",1,"0045111","201415"
"Support Staff ",0,"0045111","201415"
"Instructional Specialists Who Support Teachers ",1.2,"0045111","201415"
"Counselors, Social Workers and School Psychologists ",3,"0045111","201415"
"School Nurses ",1,"0045111","201415"
"Other Staff Providing Non-Instructional Services/Support ",11.5,"0045111","201415"
"General Education: Teachers and Instructors ",39.5,"0045111","201516"
"General Education: Paraprofessional Instructional Assistants ",2,"0045111","201516"
"Special Education: Teachers and Instructors ",6,"0045111","201516"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",11,"0045111","201516"
"Administrators, Coordinators and Department Chairs: School Level ",2,"0045111","201516"
"Library/Media: Specialists (Certified) ",1,"0045111","201516"
"Support Staff ",0,"0045111","201516"
"Instructional Specialists Who Support Teachers ",1,"0045111","201516"
"Counselors, Social Workers and School Psychologists ",3,"0045111","201516"
"School Nurses ",1,"0045111","201516"
"Other Staff Providing Non-Instructional Services/Support ",10.6,"0045111","201516"
"General Education: Teachers and Instructors ",72.4,"0046111","201314"
"General Education: Paraprofessional Instructional Assistants ",4,"0046111","201314"
"Special Education: Teachers and Instructors ",8.4,"0046111","201314"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",13.5,"0046111","201314"
"Administrators, Coordinators and Department Chairs: School Level ",3.3,"0046111","201314"
"Library/Media: Specialists (Certified) ",1,"0046111","201314"
"Support Staff ",1,"0046111","201314"
"Instructional Specialists Who Support Teachers ",1.7,"0046111","201314"
"Counselors, Social Workers and School Psychologists ",10.4,"0046111","201314"
"School Nurses ",2.2,"0046111","201314"
"Other Staff Providing Non-Instructional Services/Support ",24.1,"0046111","201314"
"General Education: Teachers and Instructors ",72.5,"0046111","201415"
"General Education: Paraprofessional Instructional Assistants ",7,"0046111","201415"
"Special Education: Teachers and Instructors ",10,"0046111","201415"
"Special Edutation: Special Edutation: Paraprofessional Instructional Assistants ",13,"0046111","201415"
"Administrators, Coordinators and Department Chairs: School Level ",5,"0046111","201415"
"Library/Media: Specialists (Certified) ",1,"0046111","201415"
"Support Staff ",1,"0046111","201415"
