"","school_id","year","category","year_score","type","count"
"1","0010111","2013-14","","2009-10 ","CMT",""
"2","0010111","2013-14","Black or African American ","2009-10 ","CMT",". "
"3","0010111","2013-14","Hispanic or Latino ","2009-10 ","CMT",". "
"4","0010111","2013-14","English Language Learners ","2009-10 ","CMT",". "
"5","0010111","2013-14","","2009-10 ","CMT",""
"6","0010111","2013-14","Eligible for Free or Reduced-Price Meals ","2009-10 ","CMT",". "
"7","0010111","2013-14","Students with Disabilities ","2009-10 ","CMT",". "
"8","0010111","2013-14","","2010-11","CMT",""
"9","0010111","2013-14","Black or African American ","2010-11","CMT","."
"10","0010111","2013-14","Hispanic or Latino ","2010-11","CMT","."
"11","0010111","2013-14","English Language Learners ","2010-11","CMT","."
"12","0010111","2013-14","","2010-11","CMT",""
"13","0010111","2013-14","Eligible for Free or Reduced-Price Meals ","2010-11","CMT","86.8"
"14","0010111","2013-14","Students with Disabilities ","2010-11","CMT","."
"15","0010111","2013-14","","2011-12 ","CMT",""
"16","0010111","2013-14","Black or African American ","2011-12 ","CMT",". "
"17","0010111","2013-14","Hispanic or Latino ","2011-12 ","CMT",". "
"18","0010111","2013-14","English Language Learners ","2011-12 ","CMT",". "
"19","0010111","2013-14","","2011-12 ","CMT",""
"20","0010111","2013-14","Eligible for Free or Reduced-Price Meals ","2011-12 ","CMT","73.9 "
"21","0010111","2013-14","Students with Disabilities ","2011-12 ","CMT",". "
"22","0010111","2013-14","","2012-13 ","CMT",""
"23","0010111","2013-14","Black or African American ","2012-13 ","CMT",". "
"24","0010111","2013-14","Hispanic or Latino ","2012-13 ","CMT",". "
"25","0010111","2013-14","English Language Learners ","2012-13 ","CMT",". "
"26","0010111","2013-14","","2012-13 ","CMT",""
"27","0010111","2013-14","Eligible for Free or Reduced-Price Meals ","2012-13 ","CMT","79.2 "
"28","0010111","2013-14","Students with Disabilities ","2012-13 ","CMT",". "
"29","0020311","2013-14","","2009-10 ","CMT",""
"30","0020311","2013-14","Black or African American ","2009-10 ","CMT","69.8 "
"31","0020311","2013-14","Hispanic or Latino ","2009-10 ","CMT","69.2 "
"32","0020311","2013-14","English Language Learners ","2009-10 ","CMT",". "
"33","0020311","2013-14","","2009-10 ","CMT",""
"34","0020311","2013-14","Eligible for Free or Reduced-Price Meals ","2009-10 ","CMT","69.3 "
"35","0020311","2013-14","Students with Disabilities ","2009-10 ","CMT","38.7 "
"36","0020311","2013-14","","2010-11","CMT",""
"37","0020311","2013-14","Black or African American ","2010-11","CMT","68.1"
"38","0020311","2013-14","Hispanic or Latino ","2010-11","CMT","71.3"
"39","0020311","2013-14","English Language Learners ","2010-11","CMT","."
"40","0020311","2013-14","","2010-11","CMT",""
"41","0020311","2013-14","Eligible for Free or Reduced-Price Meals ","2010-11","CMT","71.4"
"42","0020311","2013-14","Students with Disabilities ","2010-11","CMT","36.7"
"43","0020311","2013-14","","2011-12 ","CMT",""
"44","0020311","2013-14","Black or African American ","2011-12 ","CMT","66.0 "
"45","0020311","2013-14","Hispanic or Latino ","2011-12 ","CMT","69.8 "
"46","0020311","2013-14","English Language Learners ","2011-12 ","CMT",". "
"47","0020311","2013-14","","2011-12 ","CMT",""
"48","0020311","2013-14","Eligible for Free or Reduced-Price Meals ","2011-12 ","CMT","73.9 "
"49","0020311","2013-14","Students with Disabilities ","2011-12 ","CMT","47.7 "
"50","0020311","2013-14","","2012-13 ","CMT",""
"51","0020311","2013-14","Black or African American ","2012-13 ","CMT","73.6 "
"52","0020311","2013-14","Hispanic or Latino ","2012-13 ","CMT","72.5 "
"53","0020311","2013-14","English Language Learners ","2012-13 ","CMT",". "
"54","0020311","2013-14","","2012-13 ","CMT",""
"55","0020311","2013-14","Eligible for Free or Reduced-Price Meals ","2012-13 ","CMT","74.5 "
"56","0020311","2013-14","Students with Disabilities ","2012-13 ","CMT","44.9 "
"57","0020811","2013-14","","2009-10 ","CMT",""
"58","0020811","2013-14","Black or African American ","2009-10 ","CMT","66.4 "
"59","0020811","2013-14","Hispanic or Latino ","2009-10 ","CMT","64.6 "
"60","0020811","2013-14","English Language Learners ","2009-10 ","CMT",". "
"61","0020811","2013-14","","2009-10 ","CMT",""
"62","0020811","2013-14","Eligible for Free or Reduced-Price Meals ","2009-10 ","CMT","65.0 "
"63","0020811","2013-14","Students with Disabilities ","2009-10 ","CMT","43.6 "
"64","0020811","2013-14","","2010-11","CMT",""
"65","0020811","2013-14","Black or African American ","2010-11","CMT","63.3"
"66","0020811","2013-14","Hispanic or Latino ","2010-11","CMT","69.6"
"67","0020811","2013-14","English Language Learners ","2010-11","CMT","."
"68","0020811","2013-14","","2010-11","CMT",""
"69","0020811","2013-14","Eligible for Free or Reduced-Price Meals ","2010-11","CMT","66.9"
"70","0020811","2013-14","Students with Disabilities ","2010-11","CMT","44.0"
"71","0020811","2013-14","","2011-12 ","CMT",""
"72","0020811","2013-14","Black or African American ","2011-12 ","CMT","61.0 "
"73","0020811","2013-14","Hispanic or Latino ","2011-12 ","CMT","67.0 "
"74","0020811","2013-14","English Language Learners ","2011-12 ","CMT",". "
"75","0020811","2013-14","","2011-12 ","CMT",""
"76","0020811","2013-14","Eligible for Free or Reduced-Price Meals ","2011-12 ","CMT","64.7 "
"77","0020811","2013-14","Students with Disabilities ","2011-12 ","CMT","32.7 "
"78","0020811","2013-14","","2012-13 ","CMT",""
