"school_id","year","grades_served"
"0010111","201314","PK-6"
"0010111","201415","PK-6"
"0010111","201516","PK-6"
"0020311","201314","K-6"
"0020311","201415","K-6"
"0020311","201516","PK-6"
"0020811","201314","K-6"
"0020811","201415","K-6"
"0020811","201516","K-6"
"0025111","201314","PK-8"
"0025111","201415","PK-8"
"0025111","201516","PK-8"
"0026111","201314","9-12"
"0026111","201415","9-12"
"0026111","201516","9-12"
"0030111","201314","PK-8"
"0030111","201415","PK-8"
"0030111","201516","PK-8"
"0040311","201314","K-4"
"0040311","201415","K-4"
"0040311","201516","K-4"
"0040411","201314","PK-4"
"0040411","201415","K-4"
"0040411","201516","K-4"
"0040511","201314","5-6"
"0040511","201415","5-6"
"0040511","201516","5-6"
"0045111","201314","7-8"
"0045111","201415","7-8"
"0045111","201516","7-8"
"0046111","201314","9-12"
"0046111","201415","9-12"
"0046111","201516","9-12"
"0050111","201314","PK-6"
"0050111","201415","PK-6"
"0050111","201516","PK-6"
"0070111","201314","K-5"
"0070111","201415","K-5"
"0070111","201516","K-5"
"0070411","201314","PK-5"
"0070411","201415","PK-5"
"0070411","201516","PK-5"
"0070511","201314","K-5"
"0070511","201415","K-5"
"0070511","201516","K-5"
"0075111","201314","6-8"
"0075111","201415","6-8"
"0075111","201516","6-8"
"0076111","201314","9-12"
"0076111","201415","9-12"
"0076111","201516","9-12"
"0080111","201314","PK-6"
"0080111","201415","PK-6"
"0080111","201516","PK-6"
"0090111","201314","PK-3"
"0090111","201415","PK-3"
"0090111","201516","PK-3"
"0090411","201314","K-3"
"0090411","201415","K-3"
"0090411","201516","K-3"
"0090511","201314","K-5"
"0090511","201415","4-5"
"0090511","201516","4-5"
"0095111","201314","6-8"
"0095111","201415","6-8"
"0095111","201516","6-8"
"0096111","201314","9-12"
"0096111","201415","9-12"
"0096111","201516","9-12"
"0110511","201314","3-4"
"0110511","201415","3-4"
"0110511","201516","3-4"
"0110611","201314","K-2"
"0110611","201415","K-2"
"0110611","201516","K-2"
"0110711","201314","5-6"
"0110711","201415","5-6"
"0110711","201516","5-6"
"0110811","201314","PK-K"
"0110811","201415","PK-K"
"0110811","201516","PK-K"
"0115211","201314","7-8"
"0115211","201415","7-8"
"0115211","201516","7-8"
"0116111","201314","9-12"
"0116111","201415","9-12"
"0116111","201516","9-12"
"0116311","201314","6-12"
"0116311","201415","6-12"
"0116311","201516","6-12"
"0116411","201314","9-12"
"0116411","201415","9-12"
"0116411","201516","9-12"
"0120111","201314","PK-8"
"0120111","201415","PK-8"
"0120111","201516","PK-8"
"0126111","201314","9-12"
"0126111","201415","9-12"
"0126111","201516","9-12"
"0130111","201314","PK-8"
"0130111","201415","PK-8"
"0130111","201516","PK-8"
"0141411","201314","PK-4"
"0141411","201415","PK-4"
"0141411","201516","PK-4"
"0141511","201314","PK-4"
"0141511","201415","PK-4"
"0141511","201516","PK-4"
"0141611","201314","PK-4"
"0141611","201415","PK-4"
"0141611","201516","PK-4"
"0145111","201314","5-8"
"0145111","201415","5-8"
"0145111","201516","5-8"
"0146111","201314","9-12"
"0146111","201415","9-12"
"0146111","201516","9-12"
"0150111","201314","PK-8"
"0150111","201415","PK-8"
"0150111","201516","PK-8"
"0150211","201314","PK-6"
"0150211","201415","PK-6"
"0150211","201516","PK-6"
"0150311","201314","PK-8"
"0150311","201415","PK-8"
"0150311","201516","PK-8"
"0150411","201314","PK-6"
"0150411","201415","PK-6"
"0150411","201516","PK-6"
"0150511","201314","PK-8"
